x,y,z
-5.404127836227416e-07,-4.435053169727325e-07,-2.6035453796386716e-05
-5.404127836227416e-07,-4.435053169727325e-07,-2.596454620361328e-05
-5.348674654960632e-07,-4.389543533325195e-07,-2.610599899291992e-05
-5.348674654960632e-07,-4.389543533325195e-07,-2.5894001007080077e-05
-5.812817215919494e-07,-3.884000182151794e-07,-2.6035453796386716e-05
-5.812817215919494e-07,-3.884000182151794e-07,-2.596454620361328e-05
-5.753169655799866e-07,-3.8441449403762815e-07,-2.610599899291992e-05
-5.753169655799866e-07,-3.8441449403762815e-07,-2.5894001007080077e-05
-5.634486675262451e-07,-3.764843940734863e-07,-2.6175457000732422e-05
-5.634486675262451e-07,-3.764843940734863e-07,-2.5824542999267578e-05
-5.45798659324646e-07,-3.6469101905822754e-07,-2.6243114471435544e-05
-5.45798659324646e-07,-3.6469101905822754e-07,-2.5756885528564452e-05
-5.404127836227416e-07,-4.435053169727325e-07,-2.1035453796386716e-05
-5.404127836227416e-07,-4.435053169727325e-07,-2.096454620361328e-05
-5.348674654960632e-07,-4.389543533325195e-07,-2.110599899291992e-05
-5.348674654960632e-07,-4.389543533325195e-07,-2.0894001007080077e-05
-5.404127836227416e-07,-4.435053169727325e-07,-1.7035453796386717e-05
-5.404127836227416e-07,-4.435053169727325e-07,-1.696454620361328e-05
-5.348674654960632e-07,-4.389543533325195e-07,-1.7105998992919922e-05
-5.348674654960632e-07,-4.389543533325195e-07,-1.6894001007080078e-05
-5.812817215919494e-07,-3.884000182151794e-07,-2.1035453796386716e-05
-5.812817215919494e-07,-3.884000182151794e-07,-2.096454620361328e-05
-5.753169655799866e-07,-3.8441449403762815e-07,-2.110599899291992e-05
-5.753169655799866e-07,-3.8441449403762815e-07,-2.0894001007080077e-05
-5.634486675262451e-07,-3.764843940734863e-07,-2.1175457000732422e-05
-5.634486675262451e-07,-3.764843940734863e-07,-2.082454299926758e-05
-5.45798659324646e-07,-3.6469101905822754e-07,-2.1243114471435545e-05
-5.45798659324646e-07,-3.6469101905822754e-07,-2.0756885528564453e-05
-5.812817215919494e-07,-3.884000182151794e-07,-1.7035453796386717e-05
-5.812817215919494e-07,-3.884000182151794e-07,-1.696454620361328e-05
-5.753169655799866e-07,-3.8441449403762815e-07,-1.7105998992919922e-05
-5.753169655799866e-07,-3.8441449403762815e-07,-1.6894001007080078e-05
-5.634486675262451e-07,-3.764843940734863e-07,-1.717545700073242e-05
-5.45798659324646e-07,-3.6469101905822754e-07,-1.7243114471435546e-05
-5.634486675262451e-07,-3.764843940734863e-07,-1.6824542999267576e-05
-5.45798659324646e-07,-3.6469101905822754e-07,-1.6756885528564454e-05
-4.435053169727325e-07,-5.404127836227416e-07,-2.6035453796386716e-05
-4.435053169727325e-07,-5.404127836227416e-07,-2.596454620361328e-05
-4.389543533325195e-07,-5.348674654960632e-07,-2.610599899291992e-05
-4.389543533325195e-07,-5.348674654960632e-07,-2.5894001007080077e-05
-3.884000182151794e-07,-5.812817215919494e-07,-2.6035453796386716e-05
-3.884000182151794e-07,-5.812817215919494e-07,-2.596454620361328e-05
-3.8441449403762815e-07,-5.753169655799866e-07,-2.610599899291992e-05
-3.8441449403762815e-07,-5.753169655799866e-07,-2.5894001007080077e-05
-3.764843940734863e-07,-5.634486675262451e-07,-2.6175457000732422e-05
-3.764843940734863e-07,-5.634486675262451e-07,-2.5824542999267578e-05
-3.6469101905822754e-07,-5.45798659324646e-07,-2.6243114471435544e-05
-3.6469101905822754e-07,-5.45798659324646e-07,-2.5756885528564452e-05
-4.435053169727325e-07,-5.404127836227416e-07,-2.1035453796386716e-05
-4.435053169727325e-07,-5.404127836227416e-07,-2.096454620361328e-05
-4.389543533325195e-07,-5.348674654960632e-07,-2.110599899291992e-05
-4.389543533325195e-07,-5.348674654960632e-07,-2.0894001007080077e-05
-4.435053169727325e-07,-5.404127836227416e-07,-1.7035453796386717e-05
-4.435053169727325e-07,-5.404127836227416e-07,-1.696454620361328e-05
-4.389543533325195e-07,-5.348674654960632e-07,-1.7105998992919922e-05
-4.389543533325195e-07,-5.348674654960632e-07,-1.6894001007080078e-05
-3.884000182151794e-07,-5.812817215919494e-07,-2.1035453796386716e-05
-3.884000182151794e-07,-5.812817215919494e-07,-2.096454620361328e-05
-3.8441449403762815e-07,-5.753169655799866e-07,-2.110599899291992e-05
-3.8441449403762815e-07,-5.753169655799866e-07,-2.0894001007080077e-05
-3.764843940734863e-07,-5.634486675262451e-07,-2.1175457000732422e-05
-3.764843940734863e-07,-5.634486675262451e-07,-2.082454299926758e-05
-3.6469101905822754e-07,-5.45798659324646e-07,-2.1243114471435545e-05
-3.6469101905822754e-07,-5.45798659324646e-07,-2.0756885528564453e-05
-3.884000182151794e-07,-5.812817215919494e-07,-1.7035453796386717e-05
-3.884000182151794e-07,-5.812817215919494e-07,-1.696454620361328e-05
-3.8441449403762815e-07,-5.753169655799866e-07,-1.7105998992919922e-05
-3.8441449403762815e-07,-5.753169655799866e-07,-1.6894001007080078e-05
-3.764843940734863e-07,-5.634486675262451e-07,-1.717545700073242e-05
-3.6469101905822754e-07,-5.45798659324646e-07,-1.7243114471435546e-05
-3.764843940734863e-07,-5.634486675262451e-07,-1.6824542999267576e-05
-3.6469101905822754e-07,-5.45798659324646e-07,-1.6756885528564454e-05
-4.4439056515693663e-07,-4.4439056515693663e-07,-2.630827522277832e-05
-4.943394362926483e-07,-4.943394362926483e-07,-2.6035453796386716e-05
-4.943394362926483e-07,-4.943394362926483e-07,-2.596454620361328e-05
-4.892668724060059e-07,-4.892668724060059e-07,-2.610599899291992e-05
-4.892668724060059e-07,-4.892668724060059e-07,-2.5894001007080077e-05
-4.791737198829651e-07,-4.791737198829651e-07,-2.6175457000732422e-05
-4.791737198829651e-07,-4.791737198829651e-07,-2.5824542999267578e-05
-4.6416363120079036e-07,-4.6416363120079036e-07,-2.6243114471435544e-05
-4.6416363120079036e-07,-4.6416363120079036e-07,-2.5756885528564452e-05
-4.4439056515693663e-07,-4.4439056515693663e-07,-2.569172477722168e-05
-4.858086109161377e-07,-3.9869281649589536e-07,-2.630827522277832e-05
