v1,v2,v3
104,107,586
104,1202,107
587,108,171
108,1250,171
175,655,174
174,1254,175
663,180,309
180,1627,309
987,321,322
321,1635,322
358,1027,324
324,1694,358
1030,360,2034
360,1697,2034
582,569,573
573,569,567
573,567,575
573,575,574
573,574,576
573,576,677
566,614,572
570,572,617
572,614,617
570,617,615
579,570,615
579,627,578
577,578,628
577,628,678
579,615,627
626,578,627
628,578,626
582,580,584
582,583,565
582,584,583
582,584,584
582,589,580
104,586,589
582,104,589
581,591,654
581,654,644
585,647,566
585,585,647
585,581,644
585,644,648
614,566,647
647,585,648
648,585,648
587,652,591
587,171,652
591,652,654
582,565,569
619,625,622
618,619,622
620,622,625
620,625,623
631,620,623
631,623,633
631,633,630
629,630,632
632,630,633
634,629,632
634,704,629
637,940,640
638,640,943
643,638,941
643,945,642
641,642,946
641,946,711
646,645,660
645,658,660
649,646,651
619,618,650
649,650,618
649,649,650
650,649,651
651,649,651
649,645,646
655,656,658
655,175,656
656,660,658
661,665,979
662,975,637
662,662,975
662,661,974
663,977,665
573,667,670
670,671,673
670,667,671
670,673,673
670,673,674
670,674,683
573,677,667
678,703,669
672,669,689
669,703,689
672,689,694
672,694,675
675,695,676
695,676,676
684,676,696
675,694,695
695,695,676
696,676,695
678,628,703
670,680,4090
670,683,680
4090,680,685
4090,685,4091
684,714,682
686,682,713
682,714,713
684,696,714
687,686,721
687,4115,4093
686,713,721
687,721,4115
704,705,691
705,693,691
693,697,691
693,698,697
697,698,699
699,698,701
699,701,700
701,700,700
701,701,700
702,700,701
702,719,700
704,634,705
711,1038,707
708,707,1034
708,1035,709
709,1036,710
710,1036,710
727,710,1037
719,720,716
720,718,716
722,716,718
719,702,720
723,722,718
724,722,723
724,723,4119
724,4119,4118
727,1059,726
728,726,1058
729,728,1060
729,4508,4132
640,940,943
638,943,941
643,941,945
944,642,945
946,642,944
954,960,957
953,954,957
955,957,960
955,960,958
967,955,958
967,958,969
967,969,966
965,966,969
965,969,968
970,965,968
970,1054,965
661,979,974
662,974,976
637,975,940
975,662,976
976,662,976
663,309,977
665,977,979
981,980,992
980,990,992
983,981,985
984,954,953
983,984,953
983,983,985
983,985,984
983,985,985
983,980,981
987,988,990
987,322,988
988,992,990
961,1008,964
962,964,1011
964,1008,1011
962,1011,1009
973,962,1009
973,1017,972
971,972,1085
973,1009,1017
1016,972,1017
1018,972,1016
1018,1085,972
1012,2493,1015
1013,1015,2497
1021,1013,2502
1021,2502,1020
1019,1020,2503
1019,2503,1086
982,995,1029
982,1029,1022
986,986,1008
986,1008,961
986,982,1022
986,1022,1025
1024,1008,986
1024,986,1025
1025,986,1025
993,1027,995
993,324,1027
995,1027,1029
1023,1032,2515
1026,1023,2510
1026,2509,1012
1026,1026,2509
1030,2512,1032
707,1038,1034
708,1034,1035
709,1035,1036
710,1036,1036
1037,710,1036
711,946,1038
1054,1055,1040
1055,1042,1040
1042,1045,1040
1042,1046,1045
1045,1046,1047
1047,1046,1049
1047,1049,1048
1049,1048,1048
1049,1049,1048
1050,1048,1049
1050,1065,1048
970,1055,1054
726,1059,1058
727,1037,1059
728,1058,1060
729,1060,4508
1065,1066,1062
1066,1064,1062
1070,1062,1064
1050,1066,1065
1071,1070,1064
1072,1070,1071
1072,1071,4515
1072,4515,4514
1056,1085,1044
1051,1044,1076
1044,1085,1076
1051,1076,1079
1051,1079,1052
1052,1080,1053
1053,1080,1053
1052,1079,1080
1080,1080,1053
1081,1053,1080
1081,1089,1053
971,1085,1056
1086,2602,1078
1082,1078,2593
1082,2598,1083
1083,2598,1084
1084,2598,1084
1092,1084,2599
1069,1089,1068
1073,1068,1088
1069,1053,1089
1068,1089,1088
1074,1073,1093
1074,4554,4519
1073,1088,1093
1074,1093,4554
1092,2608,1091
1094,1091,2605
1095,1094,6018
1095,6018,4557
104,1205,1202
1208,1205,104
1208,1209,1200
1208,1200,1205
1208,1214,1209
1208,1209,1209
1207,1201,1247
1207,1247,1252
108,1203,1250
1203,1207,1252
1250,1203,1252
1201,1210,1259
1259,1210,1211
1259,1210,1210
1272,1211,1215
1201,1259,1247
1259,1259,1210
1272,1259,1211
1208,1224,1217
1224,1218,1217
1224,1227,1218
1224,1226,1227
1224,1225,1226
1224,1447,1225
1215,1220,1274
1221,1275,1220
1272,1215,1274
1275,1274,1220
1221,1229,1289
1228,1287,1229
1228,1230,1287
1221,1289,1275
1289,1229,1288
1287,1288,1229
1474,1287,1230
1208,1217,1214
1256,1248,1249
1256,1249,1258
174,1253,1254
1254,1253,1258
1253,1256,1258
1262,1248,1260
1249,1248,1262
1262,1260,1261
1262,1260,1260
1262,1262,1260
1277,1262,1261
1277,1261,1276
1266,1263,1626
180,1264,1627
1264,1266,1629
1263,1267,1630
1267,1268,1630
1267,1630,1267
1268,1297,1649
1277,1276,1282
1276,1279,1282
1283,1282,1279
1280,1283,1279
1283,1280,1295
1295,1280,1291
1293,1291,1290
1293,1290,1292
1295,1291,1294
1293,1294,1291
1476,1293,1292
1297,1299,1651
1300,1652,1299
1300,1303,1656
1302,1655,1303
1302,1304,1654
1224,1449,1444
1224,1444,1447
1449,1450,1444
1449,1452,1450
1449,1453,1452
1449,1453,1453
1449,1456,1453
1448,1446,1469
1446,1451,1477
1474,1448,1469
1446,1477,1469
1474,1230,1448
1454,1478,1451
1454,1454,1478
1455,1479,1454
1451,1478,1477
1478,1454,1479
1479,1454,1479
1455,1492,1479
1449,1459,1456
1449,1462,1459
1462,1463,1459
1462,1465,1463
1462,1466,1465
1455,1457,1492
1457,1461,1494
1457,1494,1492
1461,1501,1494
1461,1464,1501
1464,1467,1502
1464,1502,1501
1502,1467,1503
1476,1475,1473
1475,1471,1473
1471,1481,1473
1471,1480,1481
1476,1292,1475
1481,1480,1484
1482,1484,1480
1483,1485,1482
1482,1482,1485
1482,1485,1484
1485,1482,1485
1483,1496,1485
1488,1487,1860
1487,1489,1862
1304,1488,1861
1490,1863,1489
1490,1490,1863
1491,1864,1490
1483,1495,1496
1496,1495,1500
1495,1498,1500
1498,1505,1500
1498,1504,1505
1505,1504,1507
1507,1504,1506
1507,1506,1508
1491,1509,1883
1509,1511,1885
1511,1512,1886
1512,1513,1887
1266,1626,1629
1627,1264,1629
1263,1630,1626
1267,1630,1630
1268,1649,1630
1631,1632,1637
1637,1632,1639
321,1634,1635
1635,1634,1639
1634,1637,1639
1645,1631,1643
1645,1632,1631
1645,1643,1644
1645,1643,1643
1645,1645,1643
1661,1645,1644
1661,1644,1660
1297,1651,1649
1299,1652,1651
1300,1656,1652
1656,1303,1655
1302,1654,1655
1304,1861,1654
1661,1660,1666
1660,1663,1666
1667,1666,1663
1664,1667,1663
1680,1667,1664
1680,1664,1676
1678,1676,1675
1678,1675,1677
1680,1676,1679
1678,1679,1676
1872,1678,1677
1633,1692,1642
1642,1692,1696
324,1640,1694
1640,1642,1696
1694,1640,1696
1633,1646,1692
1646,1647,1700
1646,1700,1646
1647,1668,1705
1700,1692,1646
1700,1700,1646
1647,1705,1700
1693,3128,1699
1697,1699,3133
1693,1701,3136
1701,1702,3136
1701,3136,1701
1702,1709,3136
1668,1670,1707
1671,1708,1670
1668,1707,1705
1670,1708,1707
1671,1682,1708
1681,1715,1682
1681,1683,1715
1717,1708,1682
1717,1682,1716
1715,1716,1682
1909,1715,1683
1709,1711,3144
1712,3145,1711
1712,1719,3153
1718,3152,1719
1718,1720,3152
1720,1910,3151
1488,1860,1861
1487,1862,1860
1489,1863,1862
1863,1490,1864
1864,1490,1864
1491,1883,1864
1872,1871,1868
1871,1866,1868
1866,1875,1868
1874,1875,1866
1872,1677,1871
1875,1874,1878
1876,1878,1874
1877,1879,1876
1876,1876,1879
1876,1879,1878
1876,1879,1879
1877,1890,1879
1509,1885,1883
1511,1886,1885
1512,1887,1886
1887,1513,1888
1877,1889,1890
1890,1889,1894
1889,1892,1894
1892,1899,1894
1898,1899,1892
1901,1899,1898
1901,1898,1900
1901,1900,1902
1873,1870,1906
1880,1911,1870
1909,1873,1906
1870,1911,1906
1909,1683,1873
1881,1911,1880
1881,1881,1911
1882,1913,1881
1911,1881,1912
1912,1881,1913
1913,1881,1913
1882,1917,1913
1910,1908,3370
1914,3375,1908
1915,3377,1914
1915,1915,3377
1916,3378,1915
1916,1920,3378
1882,1895,1917
1895,1897,1919
1895,1919,1917
1897,1923,1919
1903,1923,1897
1903,1904,1923
1924,1923,1904
1924,1904,1925
1920,1922,3384
1926,3387,1922
1926,1927,3389
582,11374,104
1208,104,11374
573,670,11374
582,573,11374
670,4090,11374
1208,11374,1224
1224,11374,1449
1449,11374,1462
2513,2035,2095
2035,3131,2095
2578,2097,2105
2097,3178,2105
2589,2107,2214
3544,2214,2107
2879,2215,2278
3590,2278,2215
2948,2281,2282
2281,3594,2282
2288,2957,2287
2288,2287,3604
2493,2497,1015
1013,2497,2495
1013,2495,2502
2501,1020,2502
2503,1020,2501
2494,2538,2500
2498,2500,2541
2500,2538,2541
2539,2498,2541
2506,2498,2547
2506,2547,2505
2504,2505,2547
2504,2548,2603
2498,2539,2547
2504,2547,2546
2504,2546,2548
1023,2515,2507
1012,2509,2493
2509,1026,2510
2510,1026,2510
1023,2507,2510
1030,2034,2512
2512,2515,1032
2508,2517,2577
2570,2508,2577
2511,2508,2573
2511,2572,2494
2511,2511,2573
2494,2572,2538
2511,2573,2572
2511,2573,2573
2508,2570,2573
2513,2575,2517
2513,2095,2575
2517,2575,2577
2542,2556,2545
2543,2545,2559
2551,2543,2565
2551,2565,2550
2549,2550,2565
2549,2566,2624
2545,2556,2559
2557,2543,2559
2560,2859,2563
2859,2863,2563
2561,2563,2863
2561,2863,2861
2543,2557,2565
2549,2565,2564
2549,2564,2566
2561,2861,2569
2569,2861,2868
2569,2868,2568
2567,2568,2867
2867,2568,2868
2567,2867,2869
2567,2869,2636
2571,2580,2588
2574,2571,2584
2574,2583,2542
2574,2574,2584
2578,2586,2580
2581,2571,2588
2582,2591,2881
2582,2881,2873
2583,2556,2542
2574,2584,2583
2574,2584,2584
2571,2581,2584
2585,2873,2876
2585,2875,2560
2875,2859,2560
2585,2585,2876
2585,2876,2875
2585,2876,2876
2582,2873,2585
2578,2105,2586
2580,2586,2588
2589,2878,2591
2589,2214,2878
2878,2881,2591
2602,2593,1078
1082,2593,2596
1082,2596,2598
1083,2598,2598
2599,1084,2598
1086,2503,2602
2603,2623,2595
2597,2595,2614
2595,2623,2614
2617,2597,2614
2597,2618,2600
2600,2618,2601
2601,2618,2601
2619,2609,2601
2597,2617,2618
2600,2618,2618
2619,2601,2618
2603,2548,2623
2608,2605,1091
1092,2599,2608
1094,2605,2610
1094,2610,6018
2609,2639,2607
2611,2607,2638
2607,2639,2638
2619,2639,2609
2612,2611,6041
2612,6041,6020
2643,2611,2638
2611,2643,6041
2624,2635,2616
2620,2616,2626
2620,2630,2621
2621,2630,2622
2622,2630,2622
2631,2642,2622
2616,2635,2626
2626,2629,2620
2636,2970,2628
2970,2961,2628
2961,2632,2628
2961,2964,2632
2620,2629,2630
2621,2630,2630
2631,2622,2630
2632,2964,2633
2633,2964,2966
2633,2966,2634
2634,2966,2634
2633,2966,2966
2967,2634,2966
2967,2651,2634
2624,2566,2635
2636,2869,2970
2642,2648,2641
2644,2641,2647
2645,2644,6052
2645,6052,6044
2641,2648,2647
2631,2648,2642
2651,2976,2650
2976,2973,2650
2653,2650,2973
2967,2976,2651
2652,2644,2647
2644,2652,6052
2653,2973,2978
2653,2978,2654
2654,2978,6432
2654,6432,6055
2860,2906,2866
2864,2866,2909
2866,2906,2909
2864,2909,2907
2864,2907,2872
2872,2919,2871
2870,2871,2919
2870,2920,2971
2872,2907,2919
2870,2919,2918
2870,2918,2920
2874,2883,2947
2874,2947,2937
2877,2940,2860
2877,2877,2941
2874,2937,2877
2877,2937,2941
2860,2940,2906
2877,2941,2940
2877,2941,2941
2879,2945,2883
2879,2278,2945
2883,2945,2947
2911,2917,2914
2910,2911,2914
2912,2914,2917
2912,2917,2915
2912,2915,2923
2923,2915,2925
2923,2925,2922
2921,2922,2925
2921,2925,2924
2921,2924,2926
2921,2926,2997
2936,2930,2932
2956,2936,2932
2936,2935,2930
2936,2934,2935
2936,2933,2934
2936,3005,2933
2938,2953,2939
2938,2951,2953
2942,2939,2944
2943,2911,2910
2942,2943,2910
2942,2942,2944
2942,2944,2943
2942,2944,2944
2938,2939,2942
2948,2949,2951
2948,2282,2949
2949,2953,2951
2956,2955,2954
2956,2929,2955
2956,2955,2955
2956,2954,2959
2288,2959,2957
2956,2959,2288
2956,2932,2929
2971,2996,2963
2965,2963,2982
2963,2996,2982
2965,2982,2987
2965,2987,2968
2968,2988,2969
2969,2988,2969
2989,2977,2969
2988,2968,2987
2988,2988,2968
2989,2969,2988
2971,2920,2996
2977,3008,2975
2979,2975,3007
2975,3008,3007
2989,3008,2977
2979,3015,2980
2980,6455,6434
2979,3007,3015
2980,3015,6455
2997,2998,2984
2998,2986,2984
2986,2990,2984
2986,2991,2990
2990,2991,2992
2992,2991,2994
2992,2994,2993
2993,2994,2993
2992,2994,2994
2995,2993,2994
2995,3013,2993
2997,2926,2998
2936,3004,3000
3004,3002,3001
3004,3001,3000
3004,3003,3002
3004,3003,3003
3004,3021,3003
2936,3000,3005
3013,3014,3010
3014,3012,3010
3016,3010,3012
2995,3014,3013
3016,3012,3017
3016,3017,3018
3018,3017,6459
3018,6459,6458
3004,3020,3021
3004,6474,3020
6474,3022,3020
6474,3023,3022
6474,6472,3023
3128,3133,1699
1697,3130,2034
1697,3133,3130
1693,3136,3128
1702,3136,3136
1709,3141,3136
3135,3129,3173
3135,3173,3177
3131,3135,3177
3175,2095,3131
3175,3131,3177
3129,3137,3181
3137,3138,3181
3137,3181,3137
3138,3142,3181
3129,3181,3173
3138,3181,3181
3142,3197,3181
1709,3144,3141
3145,3144,1711
1712,3153,3145
3153,1719,3152
1720,3151,3152
3142,3147,3199
3148,3200,3147
3197,3142,3199
3147,3200,3199
3148,3155,3209
3154,3208,3155
3154,3156,3208
3207,3156,3374
3148,3209,3200
3209,3155,3208
3207,3208,3156
3180,3174,3184
3178,3180,3188
3174,3182,3192
3182,3183,3192
3182,3192,3182
3192,3183,3201
3180,3184,3188
3191,3185,3542
3191,3542,3547
3178,3186,2105
3186,3178,3188
3544,2107,3189
3544,3189,3547
3189,3191,3547
3174,3192,3184
3192,3192,3183
3192,3201,3215
3550,3185,3193
3550,3542,3185
3193,3194,3550
3193,3550,3193
3550,3550,3194
3555,3194,3219
3550,3194,3555
3201,3203,3217
3204,3218,3203
3204,3211,3227
3210,3226,3211
3210,3212,3226
3225,3212,3397
3215,3201,3217
3218,3217,3203
3219,3221,3558
3555,3219,3558
3559,3558,3221
3222,3559,3221
3204,3227,3218
3227,3211,3226
3225,3226,3212
3567,3559,3222
3567,3222,3229
3228,3566,3229
3228,3230,3566
3567,3229,3566
3565,3566,3230
3565,3230,3789
1910,3370,3373
3375,3370,1908
1910,3373,3151
1914,3377,3375
3377,1915,3378
3378,1915,3378
3374,3372,3393
3372,3376,3398
3396,3374,3393
3372,3398,3393
3396,3207,3374
3379,3399,3376
3380,3400,3379
3379,3379,3400
3380,3382,3400
3376,3399,3398
3379,3400,3399
3379,3400,3400
1920,3381,3378
1920,3384,3381
3387,3384,1922
1926,3389,3387
3389,1927,3390
3382,3386,3418
3382,3416,3400
3416,3382,3418
3386,3422,3418
3386,3388,3422
3423,3388,3391
3423,3422,3388
3423,3391,3424
3397,3395,3405
3395,3401,3410
3402,3411,3401
3403,3412,3402
3402,3402,3412
3403,3419,3412
3408,3397,3405
3395,3410,3405
3789,3409,3786
3409,3407,3786
3407,3413,3791
3407,3791,3786
3225,3397,3408
3789,3230,3409
3401,3411,3410
3402,3412,3411
3402,3412,3412
3791,3413,3793
3414,3793,3413
3415,3794,3414
3414,3414,3794
3414,3794,3793
3794,3414,3794
3415,3797,3794
3419,3421,3429
3421,3425,3433
3434,3425,3426
3419,3427,3412
3427,3419,3429
3421,3433,3429
3430,3797,3415
3430,3432,3800
3797,3430,3800
3432,3803,3800
3434,3433,3425
3434,3426,3435
3432,3436,3803
3805,3436,3437
3805,3803,3436
3805,3437,3806
3549,3543,3587
3549,3587,3592
3590,2215,3545
3545,3549,3592
3590,3545,3592
3543,3551,3599
3551,3552,3599
3551,3599,3551
3556,3613,3552
3543,3599,3587
3599,3599,3552
3599,3552,3613
3556,3561,3615
3562,3616,3561
3556,3615,3613
3561,3616,3615
3562,3569,3630
3568,3629,3569
3568,3570,3629
3562,3630,3616
3630,3569,3629
3628,3629,3570
3628,3570,3814
3596,3588,3589
3596,3589,3598
3594,2281,3593
3594,3593,3598
3593,3596,3598
3602,3588,3600
3602,3589,3588
3600,3601,3602
3600,3602,3600
3602,3602,3601
3602,3601,3618
3618,3601,3617
2288,3604,3606
3609,2288,3606
3609,3603,3607
3609,3606,3603
3609,3607,3608
3609,3607,3607
3609,3608,3638
3618,3617,3623
3617,3620,3623
3624,3623,3620
3621,3624,3620
3636,3624,3621
3636,3621,3632
3631,3635,3632
3631,3633,3635
3636,3632,3635
3634,3635,3633
3634,3633,3816
3646,3640,3641
3609,3640,3646
3646,3641,3644
3646,3644,3643
3646,3643,3645
3646,3645,3828
3609,3638,3640
3790,3788,3809
3788,3792,3817
3814,3790,3809
3788,3817,3809
3814,3570,3790
3795,3818,3792
3796,3819,3795
3795,3795,3819
3792,3818,3817
3795,3819,3818
3795,3819,3819
3796,3833,3819
3798,3833,3796
3798,3802,3835
3798,3835,3833
3802,3842,3835
3802,3804,3842
3843,3804,3807
3843,3842,3804
3843,3807,3844
3816,3815,3813
3815,3811,3813
3811,3821,3813
3811,3820,3821
3816,3633,3815
3821,3820,3824
3822,3824,3820
3823,3825,3822
3822,3822,3825
3822,3825,3824
3822,3825,3825
3823,3837,3825
3646,3827,3832
3646,3828,3827
3832,3827,3829
3832,3829,3830
3832,3830,3831
3832,3830,3830
3832,3831,3850
3836,3837,3823
3837,3836,3841
3836,3839,3841
3839,3846,3841
3839,3845,3846
3848,3846,3845
3848,3845,3847
3848,3847,3849
3832,3850,3852
3832,3852,3855
3855,3852,3853
3855,3853,3854
2956,2288,13400
3609,13400,2288
2936,13400,3004
2956,13400,2936
3004,13400,6474
3609,3646,13400
3646,3832,13400
3832,3855,13400
4090,4091,4092
4090,4092,4094
4090,4094,4097
4090,4097,4102
4102,4097,4100
4095,4093,4116
4095,4117,4099
4115,4116,4093
4095,4116,4117
4101,4099,4124
4105,4101,4125
4099,4117,4124
4101,4124,4125
4102,4100,4103
4102,4103,4103
4102,4103,4104
4102,4104,4107
4102,4107,4110
4102,4110,4165
4165,4110,4113
4105,4137,4106
4106,4106,4138
4106,4138,4108
4105,4125,4137
4137,4106,4137
4137,4138,4106
4108,4138,4139
4108,4139,4112
4112,4147,4114
4112,4139,4147
4114,4147,4152
4114,4152,4169
4119,4120,4118
4120,4121,4118
4121,4120,4122
4121,4122,4127
4122,4129,4127
4130,4127,4129
4131,4130,4129
4140,4130,4131
4133,4132,4509
4133,4510,4135
4136,4135,4512
4155,4136,4513
4140,4131,4142
4140,4142,4141
4142,4141,4141
4142,4141,4142
4142,4143,4141
4141,4143,4144
4144,4143,4145
4144,4145,4149
4145,4151,4149
4151,4153,4149
4151,4154,4153
4153,4154,4209
4155,4530,4156
4156,4156,4531
4156,4531,4157
4157,4532,4159
4159,4534,4160
4160,4535,4229
4165,4113,4166
4165,4166,4167
4165,4167,4168
4165,4168,4172
4165,4173,4188
4165,4172,4173
4170,4206,4171
4169,4206,4170
4175,4171,4208
4152,4206,4169
4206,4207,4171
4208,4171,4207
4175,4208,4215
4175,4215,4176
4179,4176,4216
4176,4215,4216
4179,4216,4218
4188,4173,4178
4188,4178,4189
4188,4189,4189
4188,4189,4192
4188,4192,4195
4188,4195,4746
4746,4195,4198
4179,4218,4190
4190,4252,4191
4252,4191,4191
4193,4191,4252
4190,4218,4252
4252,4252,4191
4193,4252,4256
4193,4256,4197
4197,4256,4260
4197,4260,4199
4199,4261,4750
4199,4260,4261
4154,4212,4209
4212,4211,4210
4209,4212,4210
4212,4213,4211
4214,4211,4213
4214,4219,4211
4219,4214,4222
4219,4222,4220
4222,4223,4220
4223,4225,4220
4223,4226,4225
4230,4580,4231
4229,4579,4230
4232,4231,4581
4232,4582,4233
4235,4233,4583
4225,4226,4253
4253,4226,4255
4253,4255,4254
4255,4254,4254
4255,4255,4254
4255,4257,4254
4257,4255,4258
4257,4258,4263
4263,4258,4265
4263,4265,4266
4265,4267,4266
4266,4267,4807
4235,4585,4268
4268,4629,4269
4269,4629,4269
4270,4269,4629
4270,4630,4272
4272,4632,4273
4273,4633,4815
4508,4509,4132
4133,4509,4510
4135,4510,4512
4136,4512,4513
4515,4516,4514
4516,4517,4514
4516,4518,4517
4517,4518,4522
4518,4524,4522
4525,4522,4524
4526,4525,4524
4536,4525,4526
4155,4513,4530
4530,4156,4530
4530,4531,4156
4157,4531,4532
4159,4532,4534
4160,4534,4535
4536,4526,4538
4536,4538,4537
4537,4537,4538
4538,4537,4538
4538,4539,4537
4537,4539,4540
4540,4539,4541
4540,4541,4546
4541,4548,4546
4548,4551,4546
4548,4552,4551
4551,4552,4592
4520,4519,4556
4520,4556,4528
4554,4555,4519
4555,4556,4519
4529,4528,4560
4542,4529,4561
4528,4556,4560
4529,4560,4561
4558,4557,6019
4558,6021,4563
4564,4563,6024
4542,4565,4543
4543,4543,4567
4543,4567,4544
4542,4561,4565
4565,4543,4565
4565,4566,4543
4566,4567,4543
4544,4567,4550
4550,4572,4553
4550,4567,4572
4553,4572,4575
4553,4575,4598
4568,4564,6029
4568,6029,4569
4569,4569,6030
4569,6030,4570
4570,6033,4574
4574,6036,4576
4229,4535,4579
4230,4579,4580
4581,4231,4580
4232,4581,4582
4233,4582,4583
4235,4583,4585
4552,4595,4592
4595,4594,4593
4592,4595,4593
4595,4596,4594
4597,4594,4596
4597,4601,4594
4597,4604,4601
4601,4604,4602
4604,4605,4602
4605,4607,4602
4605,4608,4607
4268,4585,4629
4269,4629,4629
4270,4629,4630
4272,4630,4632
4273,4632,4633
4607,4608,4634
4634,4608,4636
4634,4636,4635
4636,4635,4635
4636,4636,4635
4639,4635,4636
4639,4636,4640
4639,4640,4643
4643,4640,4645
4643,4645,4646
4645,4647,4646
4646,4647,4954
4599,4655,4600
4598,4655,4599
4609,4600,4661
4575,4655,4598
4655,4656,4600
4657,4600,4656
4657,4661,4600
4609,4661,4610
4612,4610,4662
4610,4661,4662
4612,4662,4664
4576,6091,4658
4659,6092,4660
4658,6092,4659
4665,4660,6093
4665,6097,4666
4668,4666,6098
4612,4664,4637
4637,4677,4638
4638,4677,4638
4641,4638,4680
4637,4664,4677
4677,4677,4638
4680,4638,4677
4641,4680,4649
4649,4680,4683
4649,4683,4650
4650,4684,4957
4650,4683,4684
4668,6113,4678
4678,6113,4679
4679,6113,4679
4681,4679,6113
4681,6116,4686
4686,6119,4687
4746,4198,4749
4746,4749,5049
5050,4750,4804
4261,4804,4750
4267,4808,4807
4808,5091,4807
5105,4815,4944
4633,4944,4815
4647,4955,4954
5424,4954,4955
4684,5000,4957
5492,4957,5000
4687,6676,5002
5495,5002,6676
4090,4102,11374
4102,4165,11374
4165,4188,11374
4188,4746,11374
4746,5057,11374
5057,5079,11374
5079,5264,11374
5264,11375,11374
4746,5049,5051
4746,5051,5057
5057,5051,5055
5057,5055,5058
5057,5058,5058
5057,5058,5059
5057,5059,5069
