x,y,z
-6.176146268844604e-07,-5.068632364273071e-07,-2.7040519714355467e-05
-6.176146268844604e-07,-5.068632364273071e-07,-2.695948028564453e-05
-6.112771034240723e-07,-5.016621351242066e-07,-2.712114143371582e-05
-6.112771034240723e-07,-5.016621351242066e-07,-2.6878858566284178e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-2.7040519714355467e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-2.695948028564453e-05
-6.575050950050354e-07,-4.393308758735657e-07,-2.712114143371582e-05
-6.575050950050354e-07,-4.393308758735657e-07,-2.6878858566284178e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-2.720052146911621e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-2.6799478530883788e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-2.7277843475341794e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-2.67221565246582e-05
-6.176146268844604e-07,-5.068632364273071e-07,-2.1040519714355466e-05
-6.176146268844604e-07,-5.068632364273071e-07,-2.095948028564453e-05
-6.112771034240723e-07,-5.016621351242066e-07,-2.112114143371582e-05
-6.112771034240723e-07,-5.016621351242066e-07,-2.0878858566284178e-05
-6.176146268844604e-07,-5.068632364273071e-07,-1.904051971435547e-05
-6.176146268844604e-07,-5.068632364273071e-07,-1.895948028564453e-05
-6.112771034240723e-07,-5.016621351242066e-07,-1.912114143371582e-05
-6.112771034240723e-07,-5.016621351242066e-07,-1.887885856628418e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-2.1040519714355466e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-2.095948028564453e-05
-6.575050950050354e-07,-4.393308758735657e-07,-2.112114143371582e-05
-6.575050950050354e-07,-4.393308758735657e-07,-2.0878858566284178e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-1.904051971435547e-05
-6.643219590187072e-07,-4.4388574361801144e-07,-1.895948028564453e-05
-6.575050950050354e-07,-4.393308758735657e-07,-1.912114143371582e-05
-6.575050950050354e-07,-4.393308758735657e-07,-1.887885856628418e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-2.120052146911621e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-2.0799478530883788e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-2.1277843475341797e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-2.0722156524658204e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-1.920052146911621e-05
-6.439413428306579e-07,-4.3026787042617796e-07,-1.8799478530883787e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-1.9277843475341796e-05
-6.237699389457703e-07,-4.1678974032402036e-07,-1.8722156524658203e-05
-5.068632364273071e-07,-6.176146268844604e-07,-2.7040519714355467e-05
-5.068632364273071e-07,-6.176146268844604e-07,-2.695948028564453e-05
-5.016621351242066e-07,-6.112771034240723e-07,-2.712114143371582e-05
-5.016621351242066e-07,-6.112771034240723e-07,-2.6878858566284178e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-2.7040519714355467e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-2.695948028564453e-05
-4.393308758735657e-07,-6.575050950050354e-07,-2.712114143371582e-05
-4.393308758735657e-07,-6.575050950050354e-07,-2.6878858566284178e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-2.720052146911621e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-2.6799478530883788e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-2.7277843475341794e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-2.67221565246582e-05
-5.068632364273071e-07,-6.176146268844604e-07,-2.1040519714355466e-05
-5.068632364273071e-07,-6.176146268844604e-07,-2.095948028564453e-05
-5.016621351242066e-07,-6.112771034240723e-07,-2.112114143371582e-05
-5.016621351242066e-07,-6.112771034240723e-07,-2.0878858566284178e-05
-5.068632364273071e-07,-6.176146268844604e-07,-1.904051971435547e-05
-5.068632364273071e-07,-6.176146268844604e-07,-1.895948028564453e-05
-5.016621351242066e-07,-6.112771034240723e-07,-1.912114143371582e-05
-5.016621351242066e-07,-6.112771034240723e-07,-1.887885856628418e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-2.1040519714355466e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-2.095948028564453e-05
-4.393308758735657e-07,-6.575050950050354e-07,-2.112114143371582e-05
-4.393308758735657e-07,-6.575050950050354e-07,-2.0878858566284178e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-1.904051971435547e-05
-4.4388574361801144e-07,-6.643219590187072e-07,-1.895948028564453e-05
-4.393308758735657e-07,-6.575050950050354e-07,-1.912114143371582e-05
-4.393308758735657e-07,-6.575050950050354e-07,-1.887885856628418e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-2.120052146911621e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-2.0799478530883788e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-2.1277843475341797e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-2.0722156524658204e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-1.920052146911621e-05
-4.3026787042617796e-07,-6.439413428306579e-07,-1.8799478530883787e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-1.9277843475341796e-05
-4.1678974032402036e-07,-6.237699389457703e-07,-1.8722156524658203e-05
-5.649593472480773e-07,-5.649593472480773e-07,-2.7040519714355467e-05
-5.649593472480773e-07,-5.649593472480773e-07,-2.695948028564453e-05
-5.591621398925781e-07,-5.591621398925781e-07,-2.712114143371582e-05
-5.591621398925781e-07,-5.591621398925781e-07,-2.6878858566284178e-05
-5.476270914077758e-07,-5.476270914077758e-07,-2.720052146911621e-05
-5.304726958274841e-07,-5.304726958274841e-07,-2.7277843475341794e-05
-5.476270914077758e-07,-5.476270914077758e-07,-2.6799478530883788e-05
-5.304726958274841e-07,-5.304726958274841e-07,-2.67221565246582e-05
